id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
1506,840000000,0,57.0,79,767,27010,0,2,2
1507,8200000000,0,54.0,79,764,26881,0,3,4
1508,1300000000,0,20.0,79,786,27643,0,3,2
1509,1090000000,0,18.0,79,786,27643,0,3,2
1515,1990000000,0,27.0,79,786,27643,0,4,2
1520,2200000000,0,34.0,75,731,26032,0,3,3
1526,2200000000,0,34.0,75,731,26032,0,3,3
1528,400000000000,0,512.0,79,760,26737,0,0,0
1522,400000000000,0,512.0,79,760,26737,0,0,0
2648,55000000,1,250.0,01,019,00631,0,6,4
1561,35000000,1,80.0,79,776,27400,0,5,6
1566,23000000000,0,111.0,79,778,27490,0,5,5
1570,25000000000,0,111.0,79,778,27490,0,5,5
1571,169999000000,0,366.0,79,778,27490,0,2,2
1572,50000000000,0,144.0,79,778,27490,0,4,4
1551,170000000,1,2000.0,79,776,27430,0,1,1
1554,20000000,1,60.0,79,776,27406,0,6,3
1569,25000000000,0,111.0,79,778,27490,0,5,5
1564,49000000000,0,220.0,79,778,27490,0,4,3
1567,970000000,0,57.0,79,778,27481,0,3,3
1568,34000000000,0,111.0,79,778,27490,0,12,12
1586,6490000000,0,50.0,79,765,26950,0,2,2
1573,45000000000,0,171.0,79,778,27490,0,4,4
1576,45000000,1,180.0,79,776,27430,0,1,0
1574,29000000000,0,126.0,79,778,27472,0,3,3
1587,6490000000,0,50.0,79,765,26950,0,2,2
1580,22000000000,0,111.0,79,778,27490,0,5,5
1581,92000000000,0,231.0,79,778,27490,0,4,4
1582,22500000000,0,111.0,79,778,27490,0,5,5
4421,950000000,0,129.0,80,806,28108,0,0,0
4422,990000000,0,90.0,80,806,28126,0,4,4
2661,45000000,1,100.0,01,004,00139,0,2,3
4429,1250000000,0,75.0,80,807,28159,0,2,1
1737,85000000,1,130.0,01,004,00145,0,0,1
1733,85000000,1,130.0,01,004,00145,0,0,1
1734,85000000,1,130.0,01,004,00145,0,0,1
1736,85000000,1,130.0,01,004,00145,0,0,1
1747,85000000,1,130.0,01,004,00145,0,0,1
1780,60000000,1,96.0,01,019,00626,0,6,6
1781,60000000,1,96.0,01,019,00626,0,6,6
1782,60000000,1,96.0,01,019,00626,0,6,6
1783,60000000,1,96.0,01,019,00626,0,6,6
1784,60000000,1,96.0,01,019,00626,0,6,6
1785,55000000,1,90.0,01,004,00145,0,4,5
1786,55000000,1,90.0,01,004,00145,0,4,5
