id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
1506,840000000,0,57.0,79,767,27010,0,2,2
1507,8200000000,0,54.0,79,764,26881,0,3,4
1508,1300000000,0,20.0,79,786,27643,0,3,2
1509,1090000000,0,18.0,79,786,27643,0,3,2
1515,1990000000,0,27.0,79,786,27643,0,4,2
1528,400000000000,0,512.0,79,760,26737,0,0,0
1566,23000000000,0,111.0,79,778,27490,0,5,5
1570,25000000000,0,111.0,79,778,27490,0,5,5
1571,169999000000,0,366.0,79,778,27490,0,2,2
1572,50000000000,0,144.0,79,778,27490,0,4,4
1569,25000000000,0,111.0,79,778,27490,0,5,5
1564,49000000000,0,220.0,79,778,27490,0,4,3
1567,970000000,0,57.0,79,778,27481,0,3,3
1568,34000000000,0,111.0,79,778,27490,0,12,12
1586,6490000000,0,50.0,79,765,26950,0,2,2
1573,45000000000,0,171.0,79,778,27490,0,4,4
1574,29000000000,0,126.0,79,778,27472,0,3,3
1580,22000000000,0,111.0,79,778,27490,0,5,5
1581,92000000000,0,231.0,79,778,27490,0,4,4
1582,22500000000,0,111.0,79,778,27490,0,5,5
1796,12999000000,0,72.0,1,3,103,0,0,0
1800,9500000000,0,74.0,1,4,145,0,0,0
1958,10800000000,0,78.0,1,4,148,0,0,0
1960,1599000000,0,5.0,1,21,616,0,0,0
1961,4600000000,0,48.0,1,4,145,0,0,0
1964,1599000000,0,100.0,1,4,145,0,0,0
1978,1599000000,0,100.0,1,268,9556,0,0,0
1979,25500000000,0,340.0,1,4,145,0,0,0
1974,7600000000,0,40.0,1,4,121,0,0,0
1994,16900000000,0,51.0,1,5,169,0,0,0
1989,5800000000,0,61.0,1,4,145,0,0,0
1997,7900000000,0,50.0,1,4,148,0,0,0
2004,5500000000,0,61.0,1,21,604,0,0,0
2214,6400000000,0,50.0,1,8,340,0,4,3
2249,5800000000,0,44.0,79,786,27643,0,1,1
2251,6300000000,0,30.0,1,7,265,0,3,4
2193,7500000000,0,45.0,1,8,322,0,2,3
2201,5150000000,0,48.0,1,8,322,0,3,4
2203,6200000000,0,48.0,1,7,295,0,4,3
2311,2600000000,0,19.0,1,7,265,0,3,3
2312,50000000000,0,150.0,1,9,373,0,1,1
2314,9600000000,0,45.0,1,6,181,0,3,4
2375,9600000000,0,67.0,1,8,322,0,6,13
2378,8900000000,0,140.0,1,7,277,0,5,2
2423,32500000000,0,120.0,1,7,274,0,4,4
