,price,area,province,district,ward,floor,bedroom,toilet
1,4500000000,95.0,79,786,27643,0,1,1
3,3100000000,32.0,79,770,27127,0,2,1
4,5100000000,32.0,79,771,27178,0,3,3
5,2200000000,36.0,79,778,27472,0,1,1
7,9700000000,80.0,79,778,27469,0,1,1
8,2300000000,42.0,79,786,27643,0,1,1
9,2200000000,34.0,79,786,27643,0,1,1
10,5600000000,80.0,79,786,27643,0,1,1
11,5100000000,130.0,79,778,27490,0,1,1
12,13300000000,88.0,79,778,27469,0,1,1
13,2700000000,40.0,79,786,27643,0,1,1
14,1300000000,24.0,79,786,27643,0,1,1
16,5600000000,135.0,79,786,27643,0,1,1
18,7200000000,62.0,79,778,27469,0,1,1
19,11700000000,63.0,79,778,27481,0,1,1
21,3600000000,65.0,79,786,27643,0,1,1
23,4200000000,50.0,79,778,27481,0,1,1
24,4400000000,60.0,79,786,27643,0,1,1
25,8500000000,102.0,79,786,27643,0,4,4
26,6300000000,80.0,79,786,27643,0,1,1
28,3000000000,52.0,79,786,27643,0,1,1
29,7300000000,82.0,79,778,27472,0,1,1
30,4800000000,90.0,79,786,27643,0,1,1
31,5200000000,47.0,79,771,27172,0,1,2
32,11100000000,47.0,79,771,27178,0,5,7
35,6700000000,55.0,79,770,27136,0,4,5
36,5300000000,41.0,79,771,27166,0,6,4
37,4200000000,52.0,79,786,27643,0,1,1
38,6700000000,100.0,79,778,27490,0,1,1
39,3900000000,51.0,79,786,27643,0,1,1
40,3400000000,29.0,79,773,27280,0,1,1
41,6800000000,112.0,79,778,27490,0,1,1
43,12900000000,52.0,79,770,27127,0,7,7
45,5600000000,120.0,79,778,27472,0,1,1
46,2800000000,56.0,79,778,27490,0,1,1
47,2600000000,43.0,79,786,27643,0,1,1
48,4100000000,82.0,79,778,27472,0,1,1
49,2500000000,71.0,79,778,27490,0,1,1
50,2300000000,71.0,79,778,27490,0,1,1
51,4400000000,70.0,79,778,27490,0,1,1
52,6100000000,90.0,79,786,27643,0,1,1
53,3500000000,50.0,79,786,27643,0,1,1
54,11800000000,240.0,79,786,27643,0,0,0
55,3500000000,48.0,79,786,27643,0,1,1
56,2400000000,82.0,79,778,27490,0,1,1
57,7100000000,64.0,79,786,27643,0,1,11
58,25900000000,204.0,79,778,27490,0,1,1
59,8000000000,114.0,79,786,27643,0,1,1
60,4200000000,50.0,79,786,27643,0,1,1
61,2700000000,89.0,79,778,27490,0,1,1
62,4100000000,50.0,79,786,27643,0,1,1
63,4000000000,87.0,79,786,27643,0,1,1
64,4100000000,56.0,79,786,27643,0,1,1
65,3200000000,64.0,79,786,27643,0,2,2
66,4500000000,118.0,79,778,27490,0,1,1
68,21700000000,200.0,79,778,27490,0,1,1
69,5800000000,80.0,79,786,27643,0,1,1
70,2000000000,40.0,79,786,27643,0,1,1
71,4100000000,55.0,79,786,27643,0,1,1
72,1800000000,26.0,79,786,27643,0,1,1
73,3800000000,50.0,79,786,27643,0,1,1
74,3300000000,56.0,79,786,27643,0,1,1
75,1700000000,32.0,79,786,27643,0,1,1
76,1300000000,21.0,79,786,27643,0,1,1
77,2700000000,99.0,79,786,27643,0,1,1
78,4100000000,52.0,79,786,27643,0,1,1
79,6100000000,36.0,79,773,27295,0,1,1
80,5600000000,80.0,79,786,27643,0,1,1
81,13900000000,78.0,79,771,27178,0,8,4
82,3300000000,78.0,79,778,27490,0,1,1
84,3800000000,118.0,79,778,27490,0,1,1
87,4600000000,160.0,79,778,27490,0,1,1
88,2100000000,28.0,79,764,26878,0,1,2
89,6500000000,115.0,79,778,27490,0,1,1
91,9200000000,38.0,79,760,26758,0,1,1
94,10700000000,120.0,79,786,27643,0,1,1
95,4400000000,88.0,79,786,27643,0,1,1
96,1900000000,81.0,79,761,26791,0,0,0
97,3800000000,39.0,79,773,27277,0,1,1
100,1700000000,30.0,79,786,27643,0,1,1
101,2100000000,29.0,79,764,26878,0,1,2
102,5500000000,76.0,79,786,27643,0,1,1
103,15300000000,324.0,79,778,27490,0,1,1
105,2100000000,29.0,79,764,26878,0,1,2
106,3700000000,74.0,79,778,27490,0,1,1
109,13200000000,34.0,79,760,26740,0,1,1
110,9900000000,228.0,79,786,27643,0,1,1
111,1400000000,21.0,79,786,27643,0,1,1
112,3400000000,48.0,79,786,27643,0,1,1
113,10100000000,113.0,1,19,631,0,3,2
114,16100000000,126.0,79,778,27490,0,1,1
115,4400000000,102.0,79,764,26878,0,3,3
116,2100000000,70.0,79,767,27025,0,2,2
117,6100000000,78.0,79,761,26791,2,3,2
118,7300000000,45.0,1,9,358,0,4,4
119,2700000000,39.0,79,786,27643,0,1,1
120,8400000000,105.0,79,786,27643,0,4,5
121,5600000000,120.0,79,786,27643,0,1,1
122,2600000000,88.0,79,778,27490,0,1,1
123,4500000000,99.0,79,778,27490,0,1,1
124,10800000000,90.0,79,765,26905,3,4,5
125,6000000000,103.0,79,778,27490,0,1,1
126,3200000000,100.0,79,764,26882,0,2,2
127,1400000000,17.0,79,773,27271,0,1,1
128,4200000000,35.0,79,772,27226,0,3,3
129,1300000000,23.0,79,786,27643,0,1,1
130,2300000000,50.0,79,770,27127,0,2,1
131,1200000000,22.0,79,786,27643,0,1,1
133,2000000000,32.0,79,786,27643,0,1,1
134,4300000000,96.0,79,772,27226,0,3,3
135,1200000000,21.0,79,786,27643,0,1,1
136,3500000000,37.0,79,764,26878,0,2,2
137,4500000000,61.0,79,764,26898,0,2,2
138,9700000000,248.0,79,786,27643,0,1,1
139,13100000000,88.0,79,775,27385,0,5,5
140,6500000000,83.0,79,786,27643,0,1,1
141,3200000000,100.0,79,764,26882,0,2,2
142,3600000000,50.0,79,786,27643,0,1,1
143,8300000000,52.0,79,766,26974,0,5,4
144,4400000000,62.0,79,786,27643,0,1,1
145,7000000000,89.0,79,773,27289,0,3,1
146,4400000000,68.0,79,786,27643,0,1,1
147,2900000000,25.0,79,766,26992,0,2,2
148,4700000000,60.0,79,786,27643,0,1,1
149,4100000000,50.0,79,786,27643,0,1,1
150,5000000000,70.0,79,786,27643,0,1,1
151,3900000000,40.0,79,767,27025,0,2,2
152,10600000000,64.0,79,778,27481,0,1,1
153,3400000000,99.0,79,786,27643,0,1,1
154,4600000000,64.0,79,786,27643,0,1,1
155,10200000000,240.0,79,786,27643,0,1,1
158,4300000000,59.0,79,786,27643,0,1,1
159,3100000000,53.0,79,786,27643,0,1,1
160,4300000000,60.0,79,786,27643,0,1,1
161,2800000000,87.0,79,766,27007,0,0,0
162,3800000000,55.0,79,786,27643,0,1,1
163,1300000000,45.0,79,786,27643,0,1,1
164,2100000000,30.0,79,786,27643,0,1,1
165,2400000000,32.0,79,767,27025,0,1,1
166,4600000000,160.0,79,778,27490,0,1,1
167,4000000000,56.0,79,786,27643,0,1,1
168,5700000000,80.0,79,786,27643,0,1,1
169,1300000000,24.0,79,786,27643,0,1,1
170,1300000000,21.0,79,786,27643,0,1,1
172,5200000000,120.0,79,786,27643,0,1,1
173,4100000000,55.0,79,778,27472,0,1,1
174,4100000000,118.0,79,778,27490,0,1,1
175,1800000000,50.0,79,778,27490,0,2,1
176,4500000000,122.0,79,778,27490,0,1,1
177,13500000000,140.0,79,786,27643,0,1,1
178,4100000000,114.0,79,778,27490,0,1,1
179,2300000000,40.0,79,786,27643,0,1,1
180,2700000000,64.0,79,778,27490,0,1,1
181,3900000000,52.0,79,786,27643,0,1,1
182,5600000000,80.0,79,786,27643,0,1,1
184,2400000000,23.0,79,778,27469,0,1,1
185,3000000000,78.0,79,767,27040,0,1,1
186,6200000000,80.0,79,786,27643,0,1,1
187,4700000000,106.0,79,778,27490,0,1,1
